Model,image,tp,fp,fn,precision,recall,f1,num_gt_objects,num_pred_objects,luminance_mean,luminance_norm,luminance_var,blur,entropy,density,occupied_ratio,presence_mosh_pit,presence_hands_raised
scratch,Rise of the Northstar - Hellfest 2025 - ARTE Concert-Ak2cS9cNsOY_frame_0244.jpg,0,0,1,0.0,0.0,0.0,1,0,32.37908854166667,0.12697681781045753,786.4026373636881,140.5025378958808,4.890506540108358,4.340277777777778e-06,0.019531995672000018,0,0
scratch,Rise of the Northstar - Hellfest 2025 - ARTE Concert-Ak2cS9cNsOY_frame_0291.jpg,0,2,9,0.0,0.0,0.0,9,2,75.9594921875,0.29788036151960784,3030.045516235181,287.7214195719401,7.370306629237954,3.90625e-05,0.10523390559899999,0,0
scratch,Rise of the Northstar - Hellfest 2025 - ARTE Concert-Ak2cS9cNsOY_frame_0302.jpg,0,0,1,0.0,0.0,0.0,1,0,52.08609809027778,0.20425920819716775,297.0766365980172,26.808602428671758,5.91607448805162,4.340277777777778e-06,0.028575819604000022,0,0
scratch,Rise of the Northstar - Hellfest 2025 - ARTE Concert-Ak2cS9cNsOY_frame_0654.jpg,0,0,3,0.0,0.0,0.0,3,0,74.4977560763889,0.29214806304466234,3978.211392534251,665.2868509927631,6.0251759439441805,1.3020833333333334e-05,0.641874583356,0,1
scratch,Slipknot - Before I Forget - Live @ Rock am Ring 2009-nWyh1ZtCiQA_frame_0033.jpg,0,0,1,0.0,0.0,0.0,1,0,57.40596788194444,0.22512144267429193,2912.3861753218853,621.447785186975,6.936767262924158,4.340277777777778e-06,0.012283859999999999,0,0
scratch,Slipknot - Before I Forget - Live @ Rock am Ring 2009-nWyh1ZtCiQA_frame_0043.jpg,0,0,1,0.0,0.0,0.0,1,0,207.78889756944446,0.8148584218409587,5325.3199409721465,217.90618916369777,5.144939695436431,4.340277777777778e-06,0.018334849532999978,0,0
scratch,Slipknot - Before I Forget - Live @ Rock am Ring 2009-nWyh1ZtCiQA_frame_0071.jpg,0,0,1,0.0,0.0,0.0,1,0,170.26382378472223,0.6677012697440088,2915.3428232258925,188.43351087765163,6.678388529140439,4.340277777777778e-06,0.016242168453000014,0,0
scratch,Slipknot - Before I Forget - Live @ Rock am Ring 2009-nWyh1ZtCiQA_frame_0073.jpg,0,0,1,0.0,0.0,0.0,1,0,156.53803819444445,0.6138746595860567,5608.120106915208,230.81953989069433,6.634497331363347,4.340277777777778e-06,0.010686798499999992,0,1
scratch,"System Of A Down - Circle Pit (Amsterdam, Ziggo Dome) 2015-_Els4rEAEUk_frame_0003.jpg",0,0,4,0.0,0.0,0.0,4,0,90.09819444444445,0.35332625272331153,2588.5174874807094,696.0617051153954,7.500331405381978,3.08641975308642e-05,0.04227159204,0,1
scratch,TSAR - Live @ HELLFEST 2025-Ia5Z7TQfHIE_frame_0058.jpg,0,0,1,0.0,0.0,0.0,1,0,111.68088975694444,0.43796427355664486,3423.3375132708325,87.49069417677514,7.429421143780879,4.340277777777778e-06,0.019789918433999996,0,0
scratch,TSAR - Live @ HELLFEST 2025-Ia5Z7TQfHIE_frame_0070.jpg,0,0,4,0.0,0.0,0.0,4,0,119.84349826388889,0.4699745029956427,3663.185654776039,722.2024515552474,7.588509583627606,1.736111111111111e-05,0.18842475904000006,0,0
scratch,TSAR - Live @ HELLFEST 2025-Ia5Z7TQfHIE_frame_0101.jpg,0,0,1,0.0,0.0,0.0,1,0,97.94108072916667,0.3840826695261438,1612.0065328598023,72.56504231770833,6.797833153466561,4.340277777777778e-06,0.077027312868,0,0
scratch,TSAR - Live @ HELLFEST 2025-Ia5Z7TQfHIE_frame_0118.jpg,0,0,2,0.0,0.0,0.0,2,0,80.28713107638889,0.31485149441721133,1221.3406416824719,172.7215232201847,6.379599525967664,8.680555555555556e-06,0.176251256356,0,0
scratch,TSAR - Live @ HELLFEST 2025-Ia5Z7TQfHIE_frame_0177.jpg,0,0,2,0.0,0.0,0.0,2,0,81.21366753472222,0.31848497072440085,907.9584477471059,29.410242691981935,6.691757304090917,8.680555555555556e-06,0.354652056861,0,0
scratch,TSAR - Live @ HELLFEST 2025-Ia5Z7TQfHIE_frame_0268.jpg,0,0,1,0.0,0.0,0.0,1,0,75.8755859375,0.2975513174019608,1613.0989265229966,63.48505844899872,7.039220182301658,4.340277777777778e-06,0.040579884000000004,0,0
scratch,TSAR - Live @ HELLFEST 2025-Ia5Z7TQfHIE_frame_0308.jpg,0,0,1,0.0,0.0,0.0,1,0,72.59747829861111,0.2846959933278867,1881.5606542312994,158.8064753145948,7.124005956446839,4.340277777777778e-06,0.23538604827599996,1,0
scratch,TSAR - Live @ HELLFEST 2025-Ia5Z7TQfHIE_frame_0349.jpg,0,0,1,0.0,0.0,0.0,1,0,89.8319140625,0.3522820159313726,4189.735692430117,133.36918513628174,7.147766281299123,4.340277777777778e-06,0.5927735232499999,1,0
