Model,mAP50-95,mAP50,Precision,Recall
pretrained,0.2073225843579109,0.38398008612349455,0.3775644483737455,0.3948282038849471
scratch,0.021421778706536068,0.056661881076675386,0.5893573295962246,0.09808008083870152
