,tp,fp,fn,precision,recall,f1
tp,1.0,0.6680241486414581,0.1932175390891083,0.623039245145762,0.9220709804126898,0.819917948601964
fp,0.6680241486414581,1.0,0.3311162674530126,0.15802696532937674,0.5334083717199396,0.3743125052336448
fn,0.1932175390891083,0.3311162674530126,1.0,0.053427478323939605,0.14929886076571672,0.10804892853899206
precision,0.623039245145762,0.15802696532937674,0.053427478323939605,1.0,0.8611053171808437,0.9519222069843085
recall,0.9220709804126898,0.5334083717199396,0.14929886076571672,0.8611053171808437,1.0,0.9741840044259996
f1,0.819917948601964,0.3743125052336448,0.10804892853899206,0.9519222069843085,0.9741840044259996,1.0
