,tp,fp,fn,precision,recall,f1
tp,1.0,0.35908815408053857,-0.2724437512961747,0.6113933974749853,0.8042979874105147,0.7901852957291594
fp,0.35908815408053857,1.0,-0.10280887395829841,-0.02433383875027156,0.39618871272551537,0.16688464131547678
fn,-0.2724437512961747,-0.10280887395829841,1.0,-0.17205848979220484,-0.44732063038529785,-0.35486263353258524
precision,0.6113933974749853,-0.02433383875027156,-0.17205848979220484,1.0,0.7318524975996804,0.9087873664018761
recall,0.8042979874105147,0.39618871272551537,-0.44732063038529785,0.7318524975996804,1.0,0.9334257157057007
f1,0.7901852957291594,0.16688464131547678,-0.35486263353258524,0.9087873664018761,0.9334257157057007,1.0
