,tp,fp,fn,precision,recall,f1
tp,1.0,0.336644488150165,0.21990226338940513,0.9989727084649395,0.9997837604040024,0.9989187084806591
fp,0.336644488150165,1.0,0.2801844788088147,0.3187129789348639,0.3305080469133774,0.31869575074063333
fn,0.21990226338940513,0.2801844788088147,1.0,0.21377798336468468,0.21723900447226868,0.21318014825418602
precision,0.9989727084649395,0.3187129789348639,0.21377798336468468,1.0,0.9992972607713656,0.9999459444849466
recall,0.9997837604040024,0.3305080469133774,0.21723900447226868,0.9992972607713656,1.0,0.9993513513513513
f1,0.9989187084806591,0.31869575074063333,0.21318014825418602,0.9999459444849466,0.9993513513513513,1.0
