,tp,fp,fn,precision,recall,f1
tp,1.0,0.43369119644225124,-0.36807703747129195,0.9001241200682105,0.9617759579956189,0.954960268048207
fp,0.43369119644225124,1.0,-0.13741208124879312,0.15915463728839988,0.4097404375518395,0.2787864422771657
fn,-0.36807703747129195,-0.13741208124879312,1.0,-0.2655650079401511,-0.4963516085824275,-0.42817070112606115
precision,0.9001241200682105,0.15915463728839988,-0.2655650079401511,1.0,0.8933618559204601,0.955876442752804
recall,0.9617759579956189,0.4097404375518395,-0.4963516085824275,0.8933618559204601,1.0,0.9696668747706064
f1,0.954960268048207,0.2787864422771657,-0.42817070112606115,0.955876442752804,0.9696668747706064,1.0
