filename,full_path,source,video_name,mean_luminance
"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0005.jpg","data/interim/frames/youtube/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0005.jpg",youtube,"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo",92.32919270833334
"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0011.jpg","data/interim/frames/youtube/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0011.jpg",youtube,"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo",97.89506510416666
"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0039.jpg","data/interim/frames/youtube/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0039.jpg",youtube,"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo",91.16884548611111
"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0038.jpg","data/interim/frames/youtube/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0038.jpg",youtube,"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo",92.12715277777778
"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0010.jpg","data/interim/frames/youtube/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0010.jpg",youtube,"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo",100.29901909722223
"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0004.jpg","data/interim/frames/youtube/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0004.jpg",youtube,"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo",94.30913628472223
"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0012.jpg","data/interim/frames/youtube/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0012.jpg",youtube,"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo",103.36302951388889
"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0006.jpg","data/interim/frames/youtube/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0006.jpg",youtube,"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo",96.04492621527778
"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0007.jpg","data/interim/frames/youtube/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0007.jpg",youtube,"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo",97.97479600694444
"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0013.jpg","data/interim/frames/youtube/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0013.jpg",youtube,"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo",100.39017795138889
"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0017.jpg","data/interim/frames/youtube/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0017.jpg",youtube,"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo",101.57352430555555
"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0003.jpg","data/interim/frames/youtube/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0003.jpg",youtube,"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo",96.74455295138888
"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0002.jpg","data/interim/frames/youtube/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0002.jpg",youtube,"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo",103.31049045138889
"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0016.jpg","data/interim/frames/youtube/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo/Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo_frame_0016.jpg",youtube,"Korn (wall of death) @ SSE Wembley Arena, London (16.12.2016)-VH3l_-O73xo",99.5941015625
