Class,pretrained,scratch,delta_AP50-95
amp,0.2369533539164324,0.0074251072849640665,0.22952824663146834
drums,0.4734314938410594,0.0747491949478509,0.3986822988932085
guitar,0.38220513284351076,0.04354305035689908,0.33866208248661167
hands_raised,0.01917779546538645,0.0015716855848186579,0.01760610988056779
micro,0.011147297467697093,0.0006833091146144605,0.010463988353082633
mosh_pit,0.12102043261337925,0.0005583249500692394,0.12046210766331
